Original,Furigana,English,JLPT Level
日差し,ひざし,sunlight,N2
肘,ひじ,elbow,N2
ピストル,ピストル,pistol,N2
ビタミン,ビタミン,vitamin,N2
ぴたり,ぴたり,exactly; close-fitting,N2
引っ掛かる,ひっかかる,"to be caught in, to be stuck in",N2
筆記,ひっき,"note taking, writing",N2
引っ繰り返す,ひっくりかえす,"to turn over, to overturn, to knock over",N2
引っ繰り返る,ひっくりかえる,"to be overturned, to be upset, to topple over, to be reversed",N2
引っ越し,ひっこし,"moving (dwelling, office, etc.), changing residence",N2
引っ込む,ひっこむ,"to draw back, to sink, to cave in",N2
筆者,ひっしゃ,"writer, author",N2
必需品,ひつじゅひん,"necessities, essential",N2
一～,ひと～,one ~,N2
人差指,ひとさしゆび,index finger,N2
一通り,ひととおり,"general, briefly",N2
人通り,ひとどおり,pedestrian traffic,N2
ひとまず,ひとまず,"for the present, once, for the time being",N2
瞳,ひとみ,pupil (of eye),N2
一休み,ひとやすみ,a rest,N2
独り言,ひとりごと,"a soliloquy, a monologue, speaking to oneself",N2
ひとりでに,ひとりでに,"by itself, automatically, naturally",N2
ビニール,ビニール,vinyl,N2
皮肉,ひにく,"cynicism, sarcasm",N2
日日,ひにち,date,N2
日にち,ひにち,"date (of a planned event, act, etc.), day",N2
捻る,ひねる,"to twist, to turn",N2
日の入り,ひのいり,sunset,N2
日の出,ひので,sunrise,N2
響き,ひびき,"echo, sound",N2
響く,ひびく,to resound; to affect,N2
皮膚,ひふ,skin,N2
冷やす,ひやす,"to cool (from room temperature), to chill, to refrigerate",N2
ひゃっかじてん,ひゃっかじてん,encyclopedia,N2
百科事典,ひゃっかじてん,encyclopedia,N2
美容,びよう,beauty of figure or form,N2
表紙,ひょうし,"front cover, binding",N2
標識,ひょうしき,"sign, mark",N2
標準,ひょうじゅん,"standard, level",N2
標本,ひょうほん,"example, specimen",N2
評論,ひょうろん,"criticism, critique",N2
ビルディング,ビルディング,building,N2
昼寝,ひるね,"nap (at home), siesta",N2
広げる,ひろげる,"to spread, to extend, to expand, to enlarge, to widen, to broaden",N2
広さ,ひろさ,extent,N2
広場,ひろば,plaza,N2
広々,ひろびろ,"extensive, spacious",N2
ピンク,ピンク,pink,N2
便箋,びんせん,"writing paper, stationery",N2
瓶詰,びんづめ,"bottling, bottled",N2
ファスナー,ファスナー,"fastener, zipper",N2
風船,ふうせん,balloon,N2
不運,ふうん,"unlucky, misfortune, bad luck",N2
深まる,ふかまる,"to deepen, to heighten, to intensify",N2
不規則,ふきそく,"irregularity, unsteadiness",N2
普及,ふきゅう,"diffusion, spread",N2
付近,ふきん,"neighborhood, vicinity",N2
副～,ふく～,vice ~,N2
副詞,ふくし,adverb,N2
複写,ふくしゃ,"copy, duplicate",N2
複数,ふくすう,"plural, multiple",N2
ふくめる,ふくめる,"to include, to instruct, to make one understand",N2
膨らます,ふくらます,"to swell, to expand, to inflate",N2
膨らむ,ふくらむ,"to expand, to swell (out), to become inflated",N2
不潔,ふけつ,"unclean, dirty",N2
更ける,ふける,"to get late, to wear on",N2
符号,ふごう,"sign, mark, symbol",N2
夫妻,ふさい,"man and wife, married couple",N2
塞がる,ふさがる,"to be plugged up, to be shut up",N2
塞ぐ,ふさぐ,"to stuff, to close up, to block (up)",N2
ふざける,ふざける,"to romp, to gambol, to frolic",N2
無沙汰,ぶさた,neglecting to stay in contact,N2
武士,ぶし,"warrior, samurai",N2
部首,ぶしゅ,radical (of a kanji character),N2
蒸す,ふす,"to steam (food, towel, etc.) to be hot and humid, to be sultry",N2
襖,ふすま,sliding screen,N2
附属,ふぞく,"attached, belonging, affiliated",N2
付属,ふぞく,"being attached (to), being affiliated (to), belonging (to), going with",N2
蓋,ふた,"cover, lid, cap",N2
不通,ふつう,"suspension, interruption, stoppage, tie-up, cessation",N2
物騒,ぶっそう,"dangerous, disturbed, insecure",N2
ぶつぶつ,ぶつぶつ,"grumbling, complaining in a small voice",N2
船便,ふなびん,surface mail (ship),N2
部品,ぶひん,"parts, accessories",N2
吹雪,ふぶき,snow storm,N2
父母,ふぼ,"father and mother, parents",N2
踏切,ふみきり,"railway crossing, level crossing, starting line, scratch, crossover",N2
麓,ふもと,"the foot, the bottom, the base (of a mountain)",N2
フライパン,フライパン,"fry pan, frying pan",N2
ブラウス,ブラウス,blouse,N2
ぶらさげる,ぶらさげる,"to hang, to suspend, to swing",N2
ブラシ,ブラシ,brush,N2
プラットホーム,プラットホーム,platform,N2
フリー,フリー,free,N2
振り仮名,ふりがな,pronunciation key,N2
振り向く,ふりむく,"to turn one's face, to turn around",N2
プリント,プリント,"print, handout",N2
古～,ふる～,old ~,N2
故郷,ふるさと,"home town, birthplace",N2
古里,ふるさと,"home town, birthplace",N2
振舞う,ふるまう,"to behave, to conduct",N2
ブローチ,ブローチ,brooch,N2
プログラム,プログラム,program,N2
風呂敷,ふろしき,"wrapping cloth, cloth wrapper",N2
ふわふわ,ふわふわ,"light, soft",N2
噴火,ふんか,eruption,N2
分解,ぶんかい,"analysis, disassembly",N2
文芸,ぶんげい,"literature, art and literature",N2
文献,ぶんけん,"literature, books (reference)",N2
噴水,ふんすい,water fountain,N2
分数,ぶんすう,fraction (in math),N2
文体,ぶんたい,literary style,N2
分布,ぶんぷ,distribution,N2
文房具,ぶんぼうぐ,stationery,N2
文脈,ぶんみゃく,context,N2
分量,ぶんりょう,"amount, quantity",N2
分類,ぶんるい,classification,N2
閉会,へいかい,closure,N2
平気,へいき,"coolness, calmness, unconcern",N2
並行,へいこう,"(going) side by side, concurrent, at the same time",N2
平日,へいじつ,weekday,N2
兵隊,へいたい,soldier,N2
平凡,へいぼん,"common, ordinary",N2
平野,へいや,"plain, open field",N2
凹む,へこむ,"to be dented, to be indented",N2
へそ,へそ,"navel, belly-button",N2
隔てる,へだてる,to be shut out,N2
別荘,べっそう,villa; vacation home; summer cottage,N2
別々,べつべつ,"separately, individually",N2
ベテラン,ベテラン,veteran,N2
ヘリコプター,ヘリコプター,helicopter,N2
編集,へんしゅう,"editing, compilation, editorial (e.g., committee)",N2
便所,べんじょ,"toilet, lavatory",N2
ペンチ,ペンチ,pliers (lit: pinchers),N2
ボーナス,ボーナス,bonus,N2
防～,ぼう～,~ prevention,N2
望遠鏡,ぼうえんきょう,telescope,N2
方角,ほうがく,"direction, way",N2
箒,ほうき,broom,N2
方言,ほうげん,dialect,N2
坊さん,ぼうさん,"Buddhist priest, monk",N2
防止,ぼうし,"prevention, check",N2
方針,ほうしん,"objective, plan, policy",N2
包装,ほうそう,"packing, wrapping",N2
法則,ほうそく,"law, rule",N2
包帯,ほうたい,bandage,N2
膨大,ぼうだい,"enormous, extensive",N2
包丁,ほうちょう,"kitchen knife, carving knife",N2
方程式,ほうていしき,equation,N2
防犯,ぼうはん,prevention of crime,N2
方面,ほうめん,direction; area,N2
坊や,ぼうや,boy,N2
放る,ほうる,to let go,N2
朗らか,ほがらか,"bright, cheerful, melodious",N2
朗らか(な),ほがらか(な),"cheerful, merry bright (sky, day, etc.), fine, clear",N2
牧場,ぼくじょう,farm (livestock); pasture land,N2
牧畜,ぼくちく,stock-farming,N2
保健,ほけん,"health preservation, hygiene, sanitation",N2
募集,ぼしゅう,recruitment,N2
干す,ほす,"to air, to dry, to drink up",N2
ポスター,ポスター,poster,N2
北極,ほっきょく,North Pole,N2
坊っちゃん,ぼっちゃん,son (of others),N2
解く,ほどく,to unfasten,N2
掘る,ほる,"to dig, to excavate",N2
彫る,ほる,"to carve, to chisel",N2
ぼろ,ぼろ,"rag, tattered clothes",N2
盆,ぼん,Festival of the Dead; tray,N2
盆地,ぼんち,"basin (e.g., between mountains)",N2
ほんの～,ほんの～,"mere, just",N2
本部,ほんぶ,headquarters,N2
本来,ほんらい,"essentially, naturally, by nature",N2
まあまあ,まあまあ,okay; so-so; decent,N2
毎～,まい～,every ~,N2
枚数,まいすう,the number of flat things,N2
毎度,まいど,"each time, common service-sector greeting",N2
まく,まく,"to wind, to coil, to roll",N2
枕,まくら,pillow,N2
曲げる,まげる,"to bend, to crook, to lean",N2
まごまご,まごまご,"confused, be at a loss",N2
摩擦,まさつ,friction; rubbing; chafe,N2
まざる,まざる,"to be mixed, to be blended with, to associate with",N2
まじる,まじる,"to be mixed, to be blended with, to associate with",N2
マスク,マスク,mask,N2
まぜる,まぜる,"to mix, to stir",N2
またぐ,またぐ,to straddle,N2
跨ぐ,またぐ,"to step over/across, to stride over/across, to cross to stretch over, to span, to bridge, to saddle, to straddle",N2
待合室,まちあいしつ,waiting room,N2
待ち合わせる,まちあわせる,"to rendezvous, to meet at a prearranged place and time",N2
街角,まちかど,street corner,N2
真っ暗,まっくら,total darkness,N2
真っ黒,まっくろ,pitch black,N2
真っ青,まっさお,"deep blue, ghastly pale",N2
真っ先,まっさき,"foremost, beginning",N2
真っ白,まっしろ,pure white,N2
祭る,まつる,"to deify, to enshrine",N2
窓口,まどぐち,(ticket) window,N2
真似る,まねる,"to mimic, to imitate",N2
まぶた,まぶた,eyelids,N2
マフラー,マフラー,a winter scarf,N2
間も無く,まもなく,"soon, in a short time",N2
間もなく,まもなく,"soon, shortly, before long, in a short time, in a little while",N2
マラソン,マラソン,marathon,N2
稀,まれ,"rare, seldom",N2
回り道,まわりみち,detour,N2
満員,まんいん,"full house, no vacancy, sold out",N2
マンション,マンション,"multistory apartment house, condominium",N2
満点,まんてん,perfect score,N2
未～,み～,not yet ~,N2
見上げる,みあげる,"to look up at, to admire",N2
見送る,みおくる,to see off; to escort; to let pass,N2
見下ろす,みおろす,"to overlook, to look down on something",N2
見掛け,みかけ,outward appearance,N2
三日月,みかづき,crescent moon,N2
岬,みさき,cape (on coast),N2
みじめ,みじめ,"sad, pitiful, wretched",N2
惨めな,みじめな,"miserable, wretched, unhappy, sad, pitiable",N2
ミシン,ミシン,sewing machine,N2
自ら,みずから,"for one's self, personally",N2
水着,みずぎ,bathing suit (woman's),N2
店屋,みせや,"store, shop",N2
見出し,みだし,"heading, index",N2
道順,みちじゅん,"itinerary, route",N2
みっともない,みっともない,"shameful, indecent",N2
見詰める,みつめる,"to stare at, to gaze at",N2
見直す,みなおす,"to look over again, to review",N2
見慣れる,みなれる,"to become used to seeing, to be familiar with",N2
醜い,みにくい,ugly,N2
実る,みのる,"to bear fruit, to ripen",N2
身分,みぶん,"position, status",N2
見本,みほん,sample,N2
見舞う,みまう,"to ask after (health), to visit",N2
未満,みまん,"less than, insufficient",N2
名字,みょうじ,"surname, family name",N2
ミリ (メートル),ミリ (メートル),milli-,N2
診る,みる,to examine (medically),N2
民間,みんかん,"private, civilian",N2
民主～,みんしゅ～,democratic,N2
民謡,みんよう,"folk song, popular song",N2
無限,むげん,infinite,N2
無地,むじ,plain,N2
蒸し暑い,むしあつい,"humid, sultry",N2
矛盾,むじゅん,"contradiction, inconsistency",N2
無数,むすう,"countless number, infinite number",N2
紫,むらさき,"purple color, violet",N2
群れ,むれ,"crowd, flock, herd",N2
姪,めい,niece,N2
名～,めい～,famous ~,N2
名作,めいさく,masterpiece,N2
名詞,めいし,noun,N2
名刺,めいし,business card,N2
名所,めいしょ,famous place,N2
迷信,めいしん,superstition,N2
命ずる,めいずる,"to command, to appoint",N2
名物,めいぶつ,"famous product, special product, speciality",N2
銘々,めいめい,"each, individual",N2
恵まれる,めぐまれる,"to be blessed with, to be rich in",N2
巡る,めぐる,to go around,N2
目指す,めざす,"to aim at, to have an eye on",N2
目覚し,めざまし,alarm-clock,N2
目下,めした,"at present, now",N2
目印,めじるし,"mark, sign, landmark",N2
目立つ,めだつ,"to be conspicuous, to stand out",N2
めちゃくちゃ,めちゃくちゃ,"absurd, messed up, wrecked",N2
めっきり,めっきり,remarkably,N2
めでたい,めでたい,"happy, propitious, joyous",N2
メニュー,メニュー,menu,N2
めまい,めまい,"dizziness, giddiness",N2
目安,めやす,"criterion, aim",N2
免税,めんぜい,tax exemption,N2
面積,めんせき,area,N2
面接,めんせつ,interview,N2
面倒臭い,めんどうくさい,"bother to do, tiresome",N2
モーター,モーター,motor,N2
儲かる,もうかる,"to be profitable, to yield a profit",N2
儲ける,もうける,"to earn, to have (bear, beget) a child",N2
申し訳ない,もうしわけない,"inexcusable, I am sorry",N2
木材,もくざい,"lumber, timber, wood",N2
目次,もくじ,table of contents,N2
潜る,もぐる,"to dive, to pass through; to evade, to hide",N2
もしかしたら,もしかしたら,"perhaps, maybe, by some chance",N2
もたれる,もたれる,"to lean against, to lean on",N2
凭れる,もたれる,"to lean against, to lean on, to recline on",N2
モダン,モダン,modern,N2
餅,もち,sticky rice cake,N2
モデル,モデル,a fashion model,N2
元々,もともと,"originally, by nature, from the start",N2
物置,ものおき,storage room,N2
物語る,ものがたる,"to tell, to indicate",N2
物差し,ものさし,"ruler, measure",N2
物凄い,ものすごい,"earth-shattering, staggering, to a very great extent",N2
モノレール,モノレール,monorail,N2
紅葉,もみじ,(Japanese) maple,N2
揉む,もむ,"to rub, to crumple (up), to wrinkle",N2
もやす,もやす,to burn,N2
催し,もよおし,"event, festivities, function",N2
盛る,もる,to serve (food); to fill up; to prescribe,N2
問答,もんどう,"questions and answers, dialogue",N2
やかましい,やかましい,"to be fussy, to be overly critical",N2
喧しい,やかましい,"noisy, loud, clamorous, boisterous",N2
夜間,やかん,"at night, nighttime",N2
やかん,やかん,kettle,N2
やかん,やかん,kettle,N2
役者,やくしゃ,actor,N2
役所,やくしょ,"government office, public office",N2
役人,やくにん,government official,N2
薬品,やくひん,"medicine(s), chemical(s)",N2
役目,やくめ,"duty, business",N2
火傷,やけど,"burn, scald",N2
夜行,やこう,"night train, night travel",N2
矢印,やじるし,directing arrow,N2
やたらに,やたらに,"randomly, recklessly, blindly",N2
薬局,やっきょく,"pharmacy, drugstore",N2
やっつける,やっつける,"to attack (an enemy), to beat, to finish off",N2
やっぱり,やっぱり,"after all, anyway",N2
家主,やぬし,landlord,N2
破く,やぶく,to tear,N2
やむをえない,やむをえない,"cannot be helped, unavoidable",N2
軟らかい,やわらかい,"soft, tender, limp",N2
遊園地,ゆうえんち,amusement park,N2
夕刊,ゆうかん,evening paper,N2
友好,ゆうこう,friendship,N2
郵送,ゆうそう,mailing,N2
夕立,ゆうだち,(sudden) evening shower (rain),N2
夕日,ゆうひ,"(in) the evening sun, setting sun",N2
悠々,ゆうゆう,"quiet, calm, leisurely",N2
有料,ゆうりょう,"admission-paid, toll",N2
浴衣,ゆかた,"bathrobe, informal summer kimono",N2
行方,ゆくえ,one's whereabouts,N2
湯気,ゆげ,steam,N2
輸血,ゆけつ,blood transfusion,N2
輸送,ゆそう,"transport, transportation",N2
油断,ゆだん,"negligence, unpreparedness",N2
湯飲み,ゆのみ,teacup,N2
湯飲,ゆのみ,teacup,N2
緩い,ゆるい,"loose, lenient, slow",N2
溶岩,ようがん,lava,N2
容器,ようき,"container, receptacle, vessel, packaging",N2
用語,ようご,"term, terminology",N2
要旨,ようし,"gist, essentials, summary",N2
幼児,ようじ,"infant, baby, child",N2
容積,ようせき,"capacity, volume",N2
幼稚,ようち,"infancy, childish, infantile",N2
幼稚園,ようちえん,kindergarten,N2
用途,ようと,"use, usefulness",N2
洋品店,ようひんてん,clothes store,N2
養分,ようぶん,"nourishment, nutrient",N2
羊毛,ようもう,wool,N2
漸く,ようやく,"at last, finally, hardly",N2
要領,ようりょう,"gist, essentials, outline",N2
翌～,よく～,next ~,N2
欲張り,よくばり,greedy,N2
余計,よけい,"too much, unnecessary, abundance, surplus, excess, superfluity",N2
よこす,よこす,"to send, to forward; to hand over (e.g., money)",N2
よごす,よごす,"(1) to disgrace, to dishonour, (2) to pollute, to contaminate, to soil, to make dirty, to stain",N2
寄せる,よせる,"to come near, to let someone approach to bring near, to bring together, to collect, to gather to deliver (opinion, news, etc.), to send (e.g. a letter), to contribute, to donate to let someone drop by",N2
余所,よそ,"another place, somewhere else, strange parts",N2
四つ角,よつかど,"four corners, crossroads",N2
酔っ払い,よっぱらい,drunkard,N2
予備,よび,"preparation, spare",N2
呼び掛ける,よびかける,"to call out to, to accost, to address (crowd), to appeal",N2
呼び出す,よびだす,"to summon, to call (e.g., phone)",N2
蘇る,よみがえる,"to be resurrected, to be revived",N2
慶ぶ,よろこぶ,"to be delighted, to be glad",N2
来日,らいにち,"coming to Japan, visit to Japan",N2
落第,らくだい,"failure, dropping out of a class",N2
ラッシュアワー,ラッシュアワー,rush hour,N2
欄,らん,"column of text (e.g., as in a newspaper)",N2
ランチ,ランチ,lunch,N2
ランニング,ランニング,running; tank top,N2
乱暴,らんぼう,"rude, violent, rough",N2
理科,りか,science,N2
利害,りがい,"advantages and disadvantages, interest",N2
リズム,リズム,rhythm,N2
リットル,リットル,liter,N2
リポート,リポート,"report, paper",N2
リボン,リボン,ribbon,N2
略す,りゃくす,to abbreviate,N2
流域,りゅういき,(river) basin,N2
寮,りょう,"hostel, dormitory",N2
両～,りょう～,both ~,N2
両側,りょうがわ,both sides,N2
漁師,りょうし,fisherman,N2
領事,りょうじ,consul,N2
領収,りょうしゅう,"receipt, voucher",N2
臨時,りんじ,"temporary, special, extraordinary",N2
留守番,るすばん,"care-taking, caretaker, house-watching",N2
例外,れいがい,exception,N2
零点,れいてん,"zero, no marks",N2
冷凍,れいとう,"freezing, cold storage, refrigeration",N2
レインコート,レインコート,raincoat,N2
レクリェーション,レクリェーション,recreation,N2
レジャー,レジャー,leisure,N2
列島,れっとう,chain of islands,N2
煉瓦,れんが,brick,N2
連合,れんごう,"union, alliance",N2
レンズ,レンズ,lens,N2
ローマ字,ローマじ,"romanization, Roman letters (alphabet)",N2
ろうそく,ろうそく,candle,N2
録音,ろくおん,(audio) recording,N2
ロッカー,ロッカー,locker,N2
ロビー,ロビー,lobby,N2
論ずる,ろんずる,"to argue, to discuss",N2
和～,わ～,Japanese style,N2
和英,わえい,Japanese-English,N2
我～,わが～,our ~,N2
分かれる,わかれる,"to branch, to fork, to diverge to separate, to split, to divide to disperse, to scatter",N2
若々しい,わかわかしい,"youthful, young",N2
詫びる,わびる,to apologize,N2
和服,わふく,Japanese clothes,N2
割合に,わりあいに,"relatively, comparatively",N2
割算,わりざん,division (math),N2
割と,わりと,"relatively, comparatively",N2
割引,わりびき,discount,N2
ワンピース,ワンピース,one-piece dress,N2
作法,さほう,"manners, etiquette, propriety",N3
様々,さまざま,"varied, various",N3
冷ます,さます,"to cool, to let cool",N3
覚ます,さます,to awaken,N3
冷める,さめる,"to become cool, to wear off",N3
覚める,さめる,"to wake, to wake up",N3
左右,さゆう,left and right; influence,N3
皿,さら,"plate, dish",N3
更に,さらに,"furthermore, moreover",N3
去る,さる,"to leave, to go away",N3
猿,さる,monkey,N3
騒ぎ,さわぎ,"uproar, disturbance",N3
参加,さんか,participation,N3
参考,さんこう,"reference, consultation",N3
賛成,さんせい,"approval, agreement",N3
酸性,さんせい,acidity,N3
酸素,さんそ,oxygen,N3
氏,し,"family name, lineage",N3
詩,し,poem; poetry,N3
幸せ,しあわせ,"happiness, blessing",N3
ジーンズ,ジーンズ,jeans,N3
ジェット機,ジェットき,jet plane,N3
四角,しかく,square,N3
直に,じかに,"immediately, readily, directly",N3
しかも,しかも,"moreover, furthermore, besides, plus",N3
四季,しき,four seasons,N3
直,じき,"immediately, soon, shortly",N3
時期,じき,"time, season, period",N3
支給,しきゅう,"payment, allowance",N3
至急,しきゅう,"urgent, pressing",N3
しきりに,しきりに,"frequently, repeatedly, eagerly",N3
刺激,しげき,"stimulus, impetus, incentive",N3
資源,しげん,resources,N3
事件,じけん,"event, affair, incident",N3
時刻,じこく,"time, hour",N3
自殺,じさつ,suicide,N3
事実,じじつ,"fact, truth, reality",N3
支出,ししゅつ,"expenditure, expenses",N3
事情,じじょう,"circumstances, situation, reasons",N3
詩人,しじん,poet,N3
自身,じしん,oneself,N3
沈む,しずむ,to sink; to feel depressed,N3
自然,しぜん,"nature, spontaneous",N3
思想,しそう,"thought, idea",N3
舌,した,tongue,N3
次第,しだい,order; circumstances; immediate(ly),N3
従う,したがう,"to abide (by the rules), to obey",N3
したがって,したがって,"therefore, consequently",N3
親しい,したしい,"intimate, close (e.g., friend)",N3
質,しつ,"quality, nature (of person)",N3
失業,しつぎょう,unemployment,N3
湿気,しっけ,"moisture, humidity, dampness",N3
実験,じっけん,lab work; experiment,N3
実現,じつげん,"implementation, materialization, realization",N3
実行,じっこう,"practice, execution (e.g., program), realization",N3
実際,じっさい,in fact; in actuality,N3
実施,じっし,"enforcement, carry out, operation",N3
湿度,しつど,humidity,N3
じっと,じっと,"patiently, quietly",N3
実に,じつに,"indeed, truly, surely",N3
実は,じつは,actually; in fact,N3
失望,しつぼう,"disappointment, despair",N3
実力,じつりょく,ability; force,N3
支店,してん,branch store (office),N3
指導,しどう,"leadership, guidance, coaching",N3
自動,じどう,"automatic, self-motion",N3
児童,じどう,"children, juvenile",N3
品,しな,"thing, article, goods",N3
支配,しはい,"rule, control, direction",N3
芝居,しばい,"play, drama",N3
しばしば,しばしば,"often, again and again, frequently",N3
芝生,しばふ,lawn,N3
支払,しはらい,payment,N3
支払う,しはらう,to pay,N3
死亡,しぼう,death,N3
資本,しほん,"funds, capital",N3
姉妹,しまい,sisters,N3
しまった (かん),しまった (かん),Damn it!,N3
自慢,じまん,"pride, boast",N3
地味,じみ,"quiet, plain, conservative",N3
示す,しめす,"to show, to indicate",N3
占める,しめる,to take up; to account for,N3
湿る,しめる,"to be wet, to be damp",N3
下,しも,"under, below, beneath",N3
霜,しも,frost,N3
借金,しゃっきん,"debt, loan, liabilities",N3
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",N3
週,しゅう,week,N3
州,しゅう,"state, province",N3
銃,じゅう,gun,N3
周囲,しゅうい,"surroundings, circumference, environs",N3
収穫,しゅうかく,"harvest, crop, ingathering",N3
宗教,しゅうきょう,religion,N3
重視,じゅうし,"importance, stress",N3
就職,しゅうしょく,finding employment,N3
ジュース,ジュース,"juice, soft drink; deuce",N3
修正,しゅうせい,"amendment, correction",N3
重体,じゅうたい,"seriously ill, critical state",N3
渋滞,じゅうたい,"congestion (e.g., traffic), delay",N3
重大,じゅうだい,"serious, important",N3
住宅,じゅうたく,"resident, housing",N3
集団,しゅうだん,"group, mass",N3
集中,しゅうちゅう,"concentration, focusing the mind",N3
収入,しゅうにゅう,"income, revenue",N3
住民,じゅうみん,"inhabitants, residents",N3
重要,じゅうよう,"important, essential",N3
修理,しゅうり,"repairing, mending",N3
主義,しゅぎ,"doctrine, cause, principle",N3
宿泊,しゅくはく,lodging,N3
手術,しゅじゅつ,surgical operation,N3
首相,しゅしょう,Prime Minister,N3
手段,しゅだん,"means, way, measure",N3
主張,しゅちょう,"claim, insistence, assertion",N3
出場,しゅつじょう,participation,N3
出身,しゅっしん,come from,N3
出版,しゅっぱん,publication,N3
首都,しゅと,capital city,N3
主婦,しゅふ,housewife,N3
主要,しゅよう,"chief, main",N3
需要,じゅよう,demand,N3
種類,しゅるい,"variety, kind",N3
順,じゅん,"order, turn",N3
瞬間,しゅんかん,"moment, second",N3
順調,じゅんちょう,doing well,N3
順番,じゅんばん,"turn (in line), order of things",N3
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",N3
小,しょう,small,N3
章,しょう,"chapter, section; medal",N3
賞,しょう,"prize, award",N3
上,じょう,first volume; superior quality; governmental,N3
障害,しょうがい,"obstacle, impediment",N3
奨学金,しょうがくきん,scholarship,N3
乗客,じょうきゃく,passenger,N3
上京,じょうきょう,proceeding to the capital (Tokyo),N3
状況,じょうきょう,"state of affairs, situation",N3
条件,じょうけん,"conditions, terms",N3
正午,しょうご,"noon, mid-day",N3
正直,しょうじき,"honesty, integrity, frankness",N3
常識,じょうしき,common sense,N3
少女,しょうじょ,young girl,N3
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),N3
症状,しょうじょう,"symptoms, condition",N3
生じる,しょうじる,"to occur, to arise, to be generated",N3
状態,じょうたい,"condition, situation",N3
上達,じょうたつ,"improvement, advance",N3
冗談,じょうだん,a joke,N3
上等,じょうとう,"first class, very good",N3
衝突,しょうとつ,"collision, conflict",N3
商人,しょうにん,"trader, shopkeeper, merchant",N3
承認,しょうにん,"recognition, approval",N3
少年,しょうねん,"boys, juveniles",N3
商売,しょうばい,"trade, business, commerce",N3
消費,しょうひ,"consumption, expenditure",N3
商品,しょうひん,"commodity, merchandise",N3
賞品,しょうひん,"prize, trophy",N3
消防,しょうぼう,"fire fighting, fire department",N3
情報,じょうほう,"information, (military) intelligence",N3
証明,しょうめい,"proof, verification",N3
省略,しょうりゃく,"omission, abbreviation, abridgment",N3
女王,じょおう,queen,N3
職,しょく,employment,N3
職業,しょくぎょう,"occupation, business",N3
食卓,しょくたく,dining table,N3
食品,しょくひん,foodstuff,N3
植物,しょくぶつ,"plant, vegetation",N3
食物,しょくもつ,"food, foodstuff",N3
食欲,しょくよく,appetite (for food),N3
食料,しょくりょう,food,N3
食糧,しょくりょう,"provisions, rations",N3
書斎,しょさい,"study, den",N3
女子,じょし,"woman, girl",N3
助手,じょしゅ,"helper, assistant",N3
徐々に,じょじょに,"slowly, little by little",N3
署名,しょめい,signature,N3
書物,しょもつ,books,N3
女優,じょゆう,actress,N3
処理,しょり,"processing, treatment, disposition",N3
書類,しょるい,"documents, official papers",N3
知らせ,しらせ,notice,N3
尻,しり,"buttocks, bottom",N3
知合い,しりあい,acquaintance,N3
印,しるし,mark; symbol; evidence,N3
城,しろ,castle,N3
進学,しんがく,going on to university,N3
神経,しんけい,"nerve, sensitivity",N3
真剣,しんけん,"seriousness, earnestness",N3
信仰,しんこう,"(religious) faith, belief",N3
信号,しんごう,"traffic lights, signal, semaphore",N3
人工,じんこう,"artificial, man made, human work,",N3
深刻,しんこく,serious,N3
診察,しんさつ,medical examination (of a patient),N3
人種,じんしゅ,race (of people),N3
信じる,しんじる,to believe,N3
人生,じんせい,"(human) life (e.g., conception to death)",N3
親戚,しんせき,relative(s),N3
新鮮,しんせん,fresh,N3
心臓,しんぞう,heart,N3
身体,しんたい,the body,N3
身長,しんちょう,"height (of body), stature",N3
慎重,しんちょう,"careful, prudent, cautious",N3
審判,しんぱん,"umpire, referee, judgment",N3
人物,じんぶつ,"character, personality, talented man",N3
進歩,しんぽ,"improvement, progress, development",N3
親友,しんゆう,"close friend, buddy",N3
信用,しんよう,"confidence, dependence",N3
信頼,しんらい,"reliance, trust, confidence",N3
心理,しんり,mentality,N3
人類,じんるい,"mankind, humanity",N3
巣,す,"nest, breeding place",N3
酢,す,vinegar,N3
図,ず,"figure, drawing, illustration",N3
水準,すいじゅん,"level, standard",N3
推薦,すいせん,recommendation,N3
スイッチ,スイッチ,switch,N3
睡眠,すいみん,sleep,N3
数,すう,"number, figure",N3
数字,すうじ,"numeral, figure",N3
スープ,スープ,(Western) soup,N3
末,すえ,"the end of, powder",N3
姿,すがた,"figure, shape, appearance",N3
スキー,スキー,ski,N3
救う,すくう,"to rescue from, to help out of",N3
すくなくとも,すくなくとも,at least,N3
優れる,すぐれる,"to surpass, to outstrip, to excel",N3
スケート,スケート,"skate(s), skating",N3
スケジュール,スケジュール,schedule,N3
少しも,すこしも,"anything of, not one bit",N3
過ごす,すごす,"to pass, to spend (time)",N3
筋,すじ,"muscle, string, line",N3
進める,すすめる,"to advance, to promote, to hasten",N3
勧める,すすめる,"to urge (someone) to do (something), to recommend",N3
スター,スター,star,N3
スタイル,スタイル,style,N3
スタンド,スタンド,stand,N3
頭痛,ずつう,headache,N3
ずっと,ずっと,for a long time; all the time; consecutively,N3
すっぱい,すっぱい,"sour, acid",N3
すてき,すてき,"lovely, great",N3
既に,すでに,already (same as もう),N3
すなわち,すなわち,"that is, namely, e.g.",N3
スピーチ,スピーチ,speech,N3
全て,すべて,"all, the whole, entirely",N3
